Maze(27),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
1%=0.01,0,0,0,0,0,0,0,0,0,0,0,0
2%=0.02,0.070472164,0,0.070472164,0.070472164,0.070472164,0.070472164,0.070472164,0.070472164,0.070472164,0.070472164,0.070472164,0.070671379
3%=0.03,0.1375989,0,0.06879945,0.1375989,0.1375989,0.06879945,0.1375989,0.1375989,0.1375989,0.1375989,0.1375989,0.069084629
4%=0.04,0.134408603,0,0.067204302,0.134408603,0.134408603,0.067204302,0.134408603,0.134408603,0.134408603,0.134408603,0.134408603,0.135135136
5%=0.05,0.131362891,0,0.065681445,0.197044336,0.197044336,0.131362891,0.197044336,0.197044336,0.197044336,0.197044336,0.197044336,0.198347109
6%=0.06,0.192678229,0,0.128452152,0.256904305,0.256904305,0.192678229,0.256904305,0.256904305,0.256904305,0.256904305,0.256904305,0.194174759
7%=0.07,0.188501415,0,0.12566761,0.25133522,0.25133522,0.188501415,0.25133522,0.25133522,0.25133522,0.25133522,0.25133522,0.25356577
8%=0.08,0.246002462,0.061500615,0.184501846,0.307503067,0.307503067,0.246002462,0.307503067,0.307503067,0.307503067,0.307503067,0.307503067,0.310558998
9%=0.09,0.240891299,0.060222825,0.180668474,0.361336949,0.361336949,0.301114114,0.361336949,0.361336949,0.361336949,0.361336949,0.301114114,0.304413995
10%=0.1,0.235988202,0.05899705,0.176991151,0.353982303,0.353982303,0.294985243,0.353982303,0.353982303,0.353982303,0.353982303,0.294985243,0.358208957
11%=0.11,0.231280718,0.115640359,0.231280718,0.404741248,0.404741248,0.346921077,0.404741248,0.404741248,0.404741248,0.404741248,0.346921077,0.409956069
12%=0.12,0.283446705,0.170068028,0.226757371,0.453514742,0.453514742,0.39682539,0.453514742,0.453514742,0.453514742,0.453514742,0.39682539,0.402298844
13%=0.13,0.278009445,0.166805672,0.222407563,0.444815126,0.444815126,0.389213227,0.444815126,0.444815126,0.444815126,0.444815126,0.389213227,0.451339918
14%=0.14,0.327332244,0.218221496,0.272776862,0.436442992,0.436442992,0.436442992,0.490998374,0.490998374,0.436442992,0.490998374,0.436442992,0.49861497
15%=0.15,0.374832658,0.267737611,0.321285142,0.481927721,0.481927721,0.481927721,0.535475222,0.481927721,0.42838019,0.481927721,0.481927721,0.489795929
