jgap(18),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
1%=0.01,0.090252708,0,0.090252708,0.090252708,0.090252708,0,0.090252708,0.090252708,0.090252708,0.090252708,0.090252708,0.092250923
2%=0.02,0.22796353,0,0.075987842,0.151975685,0.151975685,0,0.075987842,0.151975685,0.151975685,0.151975685,0.151975685,0.157728707
3%=0.03,0.393700794,0,0.131233596,0.196850397,0.196850397,0.196850397,0.131233596,0.131233596,0.131233596,0.131233596,0.196850397,0.137741047
4%=0.04,0.346420329,0,0.173210164,0.28868361,0.28868361,0.28868361,0.173210164,0.173210164,0.173210164,0.173210164,0.173210164,0.183374086
5%=0.05,0.309278355,0,0.154639177,0.257731964,0.257731964,0.257731964,0.206185568,0.154639177,0.154639177,0.154639177,0.154639177,0.219780221
6%=0.06,0.279329612,0,0.139664806,0.232774679,0.232774679,0.279329612,0.232774679,0.18621974,0.139664806,0.18621974,0.18621974,0.199600799
7%=0.07,0.339558575,0,0.127334467,0.212224113,0.212224113,0.297113754,0.212224113,0.212224113,0.127334467,0.169779287,0.212224113,0.2285192
8%=0.08,0.351014041,0,0.156006241,0.195007804,0.195007804,0.312012481,0.234009363,0.195007804,0.156006241,0.156006241,0.234009363,0.252951099
9%=0.09,0.324675325,0,0.216450219,0.216450219,0.216450219,0.288600289,0.216450219,0.180375183,0.180375183,0.180375183,0.216450219,0.234741787
10%=0.1,0.302013423,0,0.302013423,0.23489933,0.23489933,0.335570475,0.201342284,0.167785237,0.167785237,0.201342284,0.201342284,0.255474454
11%=0.11,0.31367629,0,0.282308657,0.250941029,0.250941029,0.345043914,0.188205773,0.156838145,0.156838145,0.188205773,0.188205773,0.239398086
12%=0.12,0.323910482,0,0.294464079,0.265017668,0.265017668,0.323910482,0.176678447,0.14723204,0.14723204,0.176678447,0.176678447,0.257400258
13%=0.13,0.332963377,0,0.305216425,0.249722531,0.249722531,0.332963377,0.166481688,0.138734741,0.166481688,0.166481688,0.166481688,0.273390036
14%=0.14,0.367261282,0,0.314795385,0.236096537,0.236096537,0.34102833,0.157397693,0.157397693,0.157397693,0.157397693,0.157397693,0.258918297
15%=0.15,0.373134326,0,0.348258708,0.248756222,0.248756222,0.348258708,0.174129354,0.149253732,0.149253732,0.174129354,0.174129354,0.273224047
