JPMC(24),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
1%=0.01,0,0,0,0,0,0,0,0,0.078523756,0,0,0
2%=0.02,0,0,0,0,0,0,0,0,0.074239052,0,0,0
3%=0.03,0,0,0,0.070397749,0.070397749,0,0,0,0.070397749,0,0,0
4%=0.04,0,0,0,0.133868812,0.133868812,0,0,0,0.066934406,0,0,0
5%=0.05,0,0,0,0.127591709,0.127591709,0,0,0,0.063795855,0,0,0
6%=0.06,0,0,0,0.182815356,0.182815356,0,0,0.060938453,0.060938453,0,0,0
7%=0.07,0,0,0,0.174978128,0.174978128,0,0,0.058326044,0.058326044,0,0,0
8%=0.08,0,0.055928413,0,0.223713651,0.223713651,0,0,0.055928413,0.055928413,0.055928413,0,0
9%=0.09,0,0.053720119,0,0.268600587,0.268600587,0,0.053720119,0.053720119,0.107440238,0.053720119,0,0
10%=0.1,0,0.051679588,0,0.258397929,0.258397929,0,0.051679588,0.051679588,0.103359175,0.051679588,0,0.053333334
11%=0.11,0,0.0497884,0,0.248941993,0.248941993,0,0.0995768,0.0497884,0.0995768,0.0497884,0,0.051480052
12%=0.12,0,0.04803074,0,0.240153695,0.240153695,0.04803074,0.096061481,0.04803074,0.096061481,0.04803074,0,0.049751245
13%=0.13,0,0.092785898,0,0.27835769,0.27835769,0.046392949,0.092785898,0.046392949,0.092785898,0.046392949,0,0.048134778
14%=0.14,0.044863168,0.089726336,0,0.269179004,0.269179004,0.044863168,0.089726336,0.044863168,0.134589502,0.044863168,0,0.046620047
15%=0.15,0.086862108,0.086862108,0,0.304017367,0.304017367,0.043431054,0.086862108,0.043431054,0.13029316,0.043431054,0,0.045197741
