software,h-index,a-index,PageRank,PageRankBR,k-core,ICOOK,PageRankIVOL,ElementRank,Pride,MinClass,iFit,CloAct
software01,5.909090909,10.27272727,6.772727273,6.772727273,7,5.772727273,6.272727273,6.772727273,6.636363636,6.090909091,6.454545455,3.272727273
software02,6.363636364,11.27272727,6.727272727,6.727272727,7.363636364,4.636363636,5.681818182,6.409090909,6.590909091,6.772727273,5.272727273,4.181818182
software03,6.045454545,11.54545455,6.909090909,6.909090909,7.363636364,5.5,6,5.5,6.045454545,6.909090909,5.545454545,3.727272727
software04,6.272727273,11.54545455,6.636363636,6.636363636,7.136363636,6.136363636,6.727272727,6.409090909,5.590909091,6.681818182,5.409090909,2.818181818
software05,6.590909091,11.54545455,6.772727273,6.772727273,7.636363636,6.363636364,6.727272727,5.954545455,5.681818182,6.318181818,5.363636364,2.272727273
software06,6.590909091,11.72727273,6.045454545,6.045454545,8.272727273,6.818181818,6.318181818,6.363636364,5.772727273,6.181818182,4.909090909,2.954545455
software07,6.954545455,11.72727273,5.818181818,5.818181818,8.181818182,6.590909091,6.590909091,6.818181818,5.818181818,6.409090909,4.681818182,2.590909091
software08,6.727272727,11.45454545,6.636363636,6.636363636,7.681818182,5.818181818,7.272727273,6.454545455,5.454545455,6.090909091,4.636363636,3.136363636
software09,7.090909091,11.45454545,6.090909091,6.090909091,7.863636364,5.909090909,7,6.136363636,5.590909091,6.272727273,5,3.5
software10,6.863636364,11.59090909,5.727272727,5.727272727,7.818181818,5.954545455,7.045454545,6.590909091,5.909090909,6.272727273,5.409090909,3.090909091
software11,7.045454545,11.59090909,5.545454545,5.545454545,7.090909091,6.545454545,7.227272727,6.590909091,5.681818182,6.954545455,5.636363636,2.545454545
software12,6.909090909,11.54545455,5.863636364,5.863636364,7.636363636,6.5,7.272727273,6.636363636,5.5,6.818181818,5.363636364,2.090909091
software13,6.454545455,11.27272727,5.636363636,5.636363636,7.363636364,6.590909091,7.318181818,6.590909091,6.227272727,6.954545455,5.318181818,2.636363636
software14,6.318181818,11.27272727,5.590909091,5.590909091,7.272727273,6.545454545,7.227272727,6.863636364,6.045454545,6.909090909,5.454545455,2.909090909
software15,6.045454545,11.27272727,5.636363636,5.636363636,7.318181818,6.409090909,7.272727273,7.045454545,6.272727273,7.136363636,5.136363636,2.818181818
